gene,pathway
ZC373.5,path:cel00270
ZK1127.10,path:cel00270
B0250.5,path:cel00280
B0272.3,path:cel00280
B0303.3,path:cel00280
C02B10.1,path:cel00280
C05C10.3,path:cel00280
C29F3.1,path:cel00280
D2030.5,path:cel00280
F01F1.6,path:cel00280
F01G10.2,path:cel00280
F01G10.3,path:cel00280
F01G4.2,path:cel00280
F09F7.4,path:cel00280
F13D12.4,path:cel00280
F25B4.6,path:cel00280
F27D4.5,path:cel00280
F27D9.5,path:cel00280
F28A10.6,path:cel00280
F52E4.1,path:cel00280
F53A2.7,path:cel00280
F54C8.1,path:cel00280
F54D8.3,path:cel00280
K02A4.1,path:cel00280
K03A1.5,path:cel00280
K04D7.3,path:cel00280
K05F1.3,path:cel00280
K06A5.6,path:cel00280
LLC1.3,path:cel00280
R09B5.6,path:cel00280
T02G5.7,path:cel00280
T02G5.8,path:cel00280
T05G5.6,path:cel00280
T05H4.13,path:cel00280
T08B2.7,path:cel00280
T09B4.8,path:cel00280
T10E9.9,path:cel00280
T25G12.5,path:cel00280
Y39E4A.3,path:cel00280
Y44A6D.5,path:cel00280
Y69F12A.2,path:cel00280
Y71G12B.10,path:cel00280
ZK1058.1,path:cel00280
ZK669.4,path:cel00280
K01C8.1,path:cel00290
K02A4.1,path:cel00290
Y44A6D.5,path:cel00290
Y51H7C.9,path:cel00290
F01F1.6,path:cel00300
B0272.3,path:cel00310
C15B12.1,path:cel00310
C26E6.9,path:cel00310
C29F3.1,path:cel00310
C32D5.5,path:cel00310
D2045.9,path:cel00310
D2089.5,path:cel00310
F01F1.6,path:cel00310
F01G10.2,path:cel00310
F01G10.3,path:cel00310
F52H3.1,path:cel00310
F54C8.1,path:cel00310
F54D5.7,path:cel00310
F54D8.3,path:cel00310
F54F7.7,path:cel00310
F55G7.2,path:cel00310
M05D6.7,path:cel00310
R02D3.1,path:cel00310
R09B5.6,path:cel00310
T02G5.7,path:cel00310
T02G5.8,path:cel00310
T05G5.6,path:cel00310
T05H4.13,path:cel00310
T08B2.7,path:cel00310
T12D8.1,path:cel00310
T12F5.4,path:cel00310
T22B11.5,path:cel00310
T26A5.7,path:cel00310
W02F12.5,path:cel00310
W06D11.4,path:cel00310
Y39G10AR.18,path:cel00310
Y41D4B.12,path:cel00310
Y69F12A.2,path:cel00310
B0513.5,path:cel00330
C14E2.2,path:cel00330
C14F11.1,path:cel00330
C16A3.10,path:cel00330
C44E4.3,path:cel00330
F01F1.6,path:cel00330
F35G2.4,path:cel00330
F44G3.2,path:cel00330
F46H5.3,path:cel00330
F47G4.7,path:cel00330
F54D8.3,path:cel00330
F55G1.9,path:cel00330
F56D12.1,path:cel00330
K11C4.4,path:cel00330
M153.1,path:cel00330
T01C8.5,path:cel00330
T05H4.13,path:cel00330
T22H6.2,path:cel00330
W10C8.5,path:cel00330
Y46G5A.19,path:cel00330
Y47D3B.10,path:cel00330
Y69A2AR.5,path:cel00330
Y69F12A.2,path:cel00330
ZC434.8,path:cel00330
C05D2.3,path:cel00340
F01F1.6,path:cel00340
F47B10.2,path:cel00340
F54D8.3,path:cel00340
K01C8.3,path:cel00340
T05H4.13,path:cel00340
T08B1.3,path:cel00340
Y48E1C.2,path:cel00340
Y51H4A.7,path:cel00340
Y69F12A.2,path:cel00340
ZK829.2,path:cel00340
B0432.5,path:cel00350
